EV Sahibi,Deplasman,Skor,EV GOL,DEP GOL,TOPLAM GOL,SONUÇ,1.5-ALT/ÜST,2.5-ALT/ÜST,3.5-ALT/ÜST,4.5-ALT/ÜST,MS-1,MS-X,MS-2,ÇŞ-1X,ÇŞ-12,ÇŞ-X2,H:02-1,H:02-X,H:02-2,H:01-1,H:01-X,H:01-2,H:10-1,H:10-X,H:10-2,H:20-1,H:20-X,H:20-2,ALL
Fehervar,Zalaegerszeg,5-0,5,0,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.30,3.90,5.50,1.05,1.12,2.15,2.90,3.40,1.50,1.80,3.10,2.15,1.05,4.25,9.00,1.00,4.40,12.50,ALL
Monchengladbach,Köln,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.62,3.40,3.45,1.15,1.22,1.75,3.95,3.85,1.28,2.35,3.30,1.75,1.15,4.10,5.60,1.00,4.70,9.00,ALL
Dinamo Kiev,Oleksandriya,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.25,3.90,5.75,1.05,1.12,2.15,3.00,3.30,1.50,1.80,3.00,2.15,1.05,4.25,9.50,1.00,4.40,12.50,ALL
Liverpool,Atletico Madrid,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.38,3.35,5.70,1.05,1.20,2.20,3.55,3.40,1.38,2.00,2.90,2.20,1.05,4.10,10.00,1.00,4.30,14.00,ALL
Chennai City,Maziya S & RC,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.55,3.00,4.00,1.12,1.20,1.70,5.00,3.60,1.20,2.55,2.80,1.80,1.10,3.75,8.00,1.00,4.40,12.50,ALL
D.La Equidad,Deport Pasto,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.05,2.70,2.80,1.20,1.25,1.40,7.00,4.00,1.10,3.60,3.10,1.40,1.20,3.40,5.25,1.02,4.40,9.50,ALL
Ümraniyespor,Menemenspor,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.85,2.90,2.95,1.20,1.25,1.50,6.00,4.00,1.15,3.20,3.10,1.50,1.20,3.60,5.50,1.02,4.40,9.50,ALL
El Ahly,Smouha SC,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.12,4.40,9.50,1.00,1.05,2.60,2.40,3.00,1.80,1.50,2.90,2.60,1.00,4.00,15.00,1.00,1.00,1.00,ALL
Uitm Perlis,Kedah,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.65,3.10,1.95,1.45,1.20,1.25,7.50,4.50,1.05,4.50,3.75,1.25,1.50,3.40,3.10,1.15,4.25,5.50,ALL
FC Astana,FC Ordabasy,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.55,3.25,3.75,1.12,1.18,1.75,4.40,3.60,1.25,2.40,2.95,1.75,1.12,3.90,7.00,1.00,4.50,12.00,ALL
CA Sarmiento,CA Douglas Haig,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.50,3.00,4.40,1.08,1.20,1.75,4.75,3.50,1.25,2.45,2.80,1.75,1.08,3.75,9.00,1.00,4.25,12.50,ALL
Giresunspor,Keçiörengücü,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.90,2.85,2.90,1.20,1.25,1.50,6.25,4.00,1.12,3.25,3.10,1.50,1.20,3.50,5.50,1.02,4.40,9.50,ALL
Felda United,Melaka,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.35,3.10,2.10,1.40,1.20,1.30,6.75,4.50,1.08,3.90,3.60,1.30,1.40,3.50,3.40,1.12,4.25,6.00,ALL
Terengganu,Selangor FA,3-3,3,3,6,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.25,3.10,2.25,1.35,1.20,1.35,6.25,4.40,1.08,3.60,3.50,1.35,1.35,3.50,3.75,1.08,4.40,6.50,ALL
St Mirren,Hearts,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.60,2.75,2.10,1.40,1.25,1.25,8.50,4.40,1.05,4.75,3.40,1.25,1.40,3.20,3.75,1.08,4.25,7.00,ALL
Lechia Gdansk,Piast Gliwice,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.95,2.85,2.80,1.20,1.25,1.45,6.00,4.00,1.12,3.25,3.20,1.45,1.20,3.60,5.00,1.05,4.50,9.00,ALL
Mezokovesd Z,Puskas Akad,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.95,3.10,2.65,1.25,1.20,1.45,6.00,4.00,1.12,3.25,3.20,1.45,1.25,3.50,4.75,1.05,4.40,8.50,ALL
FC Minaj,FC Ingulets,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.10,2.80,2.60,1.25,1.25,1.40,6.50,4.25,1.12,3.50,3.30,1.40,1.25,3.50,4.60,1.05,4.40,8.25,ALL
Tanta,Wadi Degla,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.70,2.50,2.25,1.35,1.30,1.25,10.00,4.25,1.05,5.25,3.30,1.25,1.35,3.10,4.25,1.08,4.25,8.25,ALL
Olympiacos,Wolverhampton,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.30,2.75,2.50,1.28,1.30,1.35,7.75,4.20,1.06,4.10,3.20,1.35,1.28,3.30,4.60,1.05,4.30,8.50,ALL
Desna Chernihiv,Vorskla Poltava,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.60,2.90,4.00,1.08,1.20,1.70,4.75,3.60,1.25,2.55,2.90,1.70,1.08,3.90,8.00,1.00,4.40,12.50,ALL
Wolfsburg,Shakhtar Donetsk,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.90,2.90,3.00,1.20,1.28,1.52,5.90,4.00,1.15,3.15,3.15,1.52,1.20,3.60,5.40,1.00,4.50,9.50,ALL
New York City,Tigres,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.15,2.95,2.40,1.30,1.25,1.40,6.50,4.25,1.10,3.60,3.40,1.40,1.30,3.50,4.00,1.08,4.40,7.25,ALL
RSB Berkane,Fus Rabat,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.85,2.70,3.25,1.15,1.25,1.50,6.50,3.90,1.12,3.30,2.90,1.50,1.15,3.50,6.75,1.00,1.00,1.00,ALL
LASK,Manchester United,0-5,0,5,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.80,2.75,2.10,1.42,1.30,1.22,9.50,4.30,1.00,5.20,3.40,1.22,1.42,3.10,3.70,1.08,4.10,7.00,ALL
Eintracht Frankfurt,Basel,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.45,3.45,4.40,1.08,1.20,2.00,3.65,3.60,1.35,2.10,3.10,2.00,1.08,4.10,7.50,1.00,4.50,11.00,ALL
Cruzeiro MG,Crb Al,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.45,3.10,4.75,1.08,1.18,1.85,4.40,3.40,1.30,2.30,2.75,1.85,1.08,3.90,9.50,1.00,4.25,15.00,ALL
Rangers,B. Leverkusen,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.70,3.00,2.00,1.45,1.28,1.25,8.25,4.50,1.05,4.70,3.55,1.25,1.45,3.25,3.30,1.12,4.10,6.00,ALL
Itt. Tanger,Wydad,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.70,2.70,2.05,1.40,1.25,1.25,5.50,3.30,1.25,1.40,3.00,3.90,1.08,4.00,7.50,1.00,1.00,1.00,ALL
Flamengo,Barcelona SC,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.20,3.60,8.50,1.02,1.10,2.35,2.30,3.40,1.75,1.50,3.40,2.35,1.00,4.40,12.00,1.00,1.00,1.00,ALL
Sao Paulo SP,LDU Quito,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.30,3.40,6.75,1.02,1.12,2.15,3.30,3.20,1.45,1.85,2.80,2.15,1.02,4.00,12.50,1.00,4.25,15.00,ALL
CF Monterrey,FC Juarez,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.40,3.50,4.75,1.05,1.15,1.95,3.30,3.50,1.40,2.00,3.10,2.10,1.05,4.25,8.25,1.00,1.00,1.00,ALL
CF America,Atlanta United,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.40,3.40,4.60,1.08,1.15,1.90,3.40,3.50,1.40,2.00,3.10,1.90,1.08,4.25,8.00,1.00,4.50,12.00,ALL
Club Olimpia,Df. Justicia,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.70,2.90,3.50,1.12,1.20,1.60,5.50,3.75,1.18,2.90,2.90,1.60,1.12,3.60,7.00,1.02,4.40,12.00,ALL
Başakşehir,Kopenhag,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.58,2.95,4.00,1.10,1.25,1.75,5.10,3.70,1.20,2.70,2.85,1.75,1.10,3.75,7.75,1.00,4.30,13.00,ALL
SJ Oruro,Blooming,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.75,3.00,3.25,1.20,1.20,1.60,4.50,3.90,1.20,2.60,3.25,1.60,1.15,3.90,5.50,1.00,1.00,1.00,ALL
Osmanlıspor,Eskişehirspor,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.65,3.00,3.50,1.12,1.20,1.62,5.00,3.75,1.20,2.65,3.00,1.62,1.12,3.75,6.75,1.02,4.50,10.00,ALL
AS Far Rabat,Hassania A,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.10,2.70,2.70,1.25,1.25,1.40,8.00,4.00,1.08,4.00,3.00,1.40,1.25,3.25,5.50,1.02,4.25,10.00,ALL
Hatta SC,Al-Wasl FC,2-3,2,3,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,3.40,3.30,1.60,1.67,1.18,1.15,10.00,4.50,1.02,6.25,3.90,1.15,1.67,3.10,2.50,1.25,3.75,4.50,ALL
Vasco Da Gama,Goias GO,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.65,2.80,3.90,1.10,1.25,1.65,5.50,3.75,1.18,2.80,2.80,1.65,1.10,3.75,8.25,1.00,4.25,12.50,ALL
Akhmat Grozny,Dinamo Moskova,2-3,2,3,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.50,2.65,2.25,1.35,1.25,1.30,8.50,4.25,1.05,4.60,3.40,1.30,1.35,3.25,4.00,1.08,4.25,7.50,ALL
Club Aurora,Strongest,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.30,3.25,1.62,1.65,1.18,1.15,9.00,4.75,1.02,5.75,4.00,1.15,1.65,3.25,2.45,1.25,3.90,4.25,ALL
Persebaya,Persipura J,3-4,3,4,7,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.45,3.30,4.25,1.08,1.15,1.80,3.75,3.60,1.30,2.20,3.00,1.80,1.08,4.00,7.50,1.00,4.50,12.00,ALL
Alebrijes De Oaxaca FC,Atlante FC,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.75,2.95,1.20,1.25,1.45,6.50,4.00,1.12,3.40,3.00,1.45,1.20,3.50,5.75,1.02,4.40,10.00,ALL
Ajman Club,Shabab AL Ahli Dubai Club,2-5,2,5,7,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,4.50,3.75,1.35,2.00,1.12,1.08,12.00,4.50,1.00,8.00,4.00,1.08,2.00,3.00,1.95,1.40,3.40,3.40,ALL
Real Kings,Bidwest Wits,0-4,0,4,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,5.00,3.10,1.40,1.90,1.18,1.05,15.00,4.25,1.00,9.50,4.00,1.05,1.85,2.85,2.20,1.30,3.40,4.00,ALL
Ponte Preta,Afogados Ingazeira PE,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.35,3.40,5.25,1.05,1.12,2.15,3.75,3.40,1.35,2.05,2.80,1.95,1.05,4.00,10.00,1.00,1.00,1.00,ALL
Kasımpaşa,Göztepe,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.20,3.10,2.40,1.30,1.25,1.38,6.50,4.30,1.10,3.60,3.40,1.38,1.30,3.50,3.95,1.08,4.40,7.00,ALL
Tom Tomsk,Krasnodar II,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.85,2.65,3.25,1.15,1.25,1.50,5.50,4.00,1.15,3.10,3.20,1.50,1.15,3.75,6.00,1.02,4.50,10.00,ALL
Pusamania Borneo,Persela Lamongan,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.40,3.40,4.75,1.08,1.15,1.90,3.50,3.50,1.35,2.05,3.00,1.90,1.08,4.00,8.50,1.00,4.40,12.50,ALL
Gremio Porto,Internacional,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.80,2.80,1.25,1.25,1.45,6.75,4.00,1.12,3.50,3.10,1.45,1.20,3.40,5.50,1.02,4.40,10.00,ALL
Racing Club,Alianza Lima,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.12,4.75,8.50,1.02,1.05,2.70,2.25,3.10,1.90,1.45,2.95,3.75,1.00,4.25,15.00,1.00,1.00,1.00,ALL
Brisbane Roar,C Mariners,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.40,3.50,4.40,1.08,1.15,1.90,3.30,3.60,1.40,2.00,3.10,1.95,1.08,4.25,7.50,1.00,4.60,12.00,ALL
Al-Nasr Dubai SC,AL Khaleej Khor Fakkan,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.65,3.30,3.20,1.15,1.18,1.65,4.60,3.75,1.20,2.55,3.10,1.65,1.15,3.75,5.75,1.02,4.60,9.50,ALL
Rapide Club,CR Khemis Zemamra,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.05,2.70,2.75,1.20,1.25,1.40,8.00,4.00,1.08,4.00,2.95,1.40,1.20,3.30,5.75,1.02,4.25,10.00,ALL
Ankaragücü,Rizespor,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.25,3.00,2.35,1.32,1.28,1.35,7.25,4.25,1.08,3.95,3.30,1.35,1.32,3.30,4.10,1.06,4.25,7.50,ALL
Braintree,Albans City,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.05,2.95,2.55,1.25,1.25,1.40,6.25,4.25,1.12,3.40,3.30,1.40,1.25,3.60,4.40,1.05,4.40,7.50,ALL
Sutton Utd,Hartlepool,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.30,2.80,1.60,1.30,1.25,1.35,7.25,4.25,1.08,3.90,3.30,1.35,1.30,3.40,4.25,1.05,4.40,8.00,ALL
Cobresal,U. Catolica,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,3.10,3.00,1.75,1.55,1.20,1.18,9.50,4.50,1.02,5.50,3.75,1.18,1.55,3.20,2.80,1.18,3.90,5.00,ALL
Melaka,Pahang FA,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.85,3.25,2.70,1.25,1.20,1.50,5.00,4.00,1.18,2.85,3.40,1.50,1.25,3.75,4.50,1.05,4.60,7.50,ALL
Bud. Honved,Kisvarda,1-5,1,5,6,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.60,3.10,3.75,1.12,1.20,1.67,4.75,3.75,1.20,2.55,3.00,1.67,1.12,3.75,7.00,1.00,4.50,12.00,ALL
Dorking Wand,Hav&Waterloo,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.75,3.00,1.90,1.50,1.20,1.25,8.00,4.50,1.05,4.75,3.75,1.25,1.50,3.30,3.10,1.15,4.00,5.50,ALL
AL Dhafra Scc,AL Wahda FC,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.10,3.25,2.30,1.35,1.20,1.40,6.50,4.25,1.10,3.60,3.30,1.40,1.35,3.40,4.00,1.08,4.25,7.25,ALL
Hungerford,Bath City FC,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,3.25,3.10,1.70,1.60,1.20,1.15,9.50,4.50,1.02,5.75,3.75,1.15,1.60,3.10,2.70,1.20,3.90,5.00,ALL
Kings Lynn,Guiseley,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.70,3.10,3.30,1.15,1.20,1.60,5.00,3.90,1.20,2.70,3.10,1.60,1.15,3.75,6.00,1.02,4.50,10.00,ALL
Halifax Town,Ebbsfleet,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.50,3.10,4.25,1.08,1.18,1.80,4.25,3.60,1.30,2.30,2.95,1.75,1.10,3.90,7.50,1.00,4.40,12.00,ALL
Persik Kediri,Persiraja Banda Aceh,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.50,3.25,4.25,1.08,1.18,1.80,4.00,3.60,1.30,2.25,3.00,1.80,1.08,4.00,7.50,1.00,4.50,12.00,ALL
Debrecen,Zalaegerszeg,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.67,3.10,3.30,1.15,1.20,1.62,4.50,3.90,1.20,2.55,3.20,1.62,1.15,3.90,5.75,1.02,4.60,9.50,ALL
Fujairah FC,Sharjah FC,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,4.25,3.30,1.50,1.80,1.18,1.08,12.00,4.50,1.00,7.50,4.00,1.08,1.80,3.00,2.20,1.30,3.60,3.90,ALL
Patronato P,San Lorenzo,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.50,2.65,2.25,1.32,1.28,1.28,8.50,4.30,1.05,4.70,3.30,1.28,1.32,3.20,4.20,1.06,4.20,8.00,ALL
Young Lions FC,Balestier,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.20,3.20,1.70,1.60,1.20,1.15,9.50,4.50,1.02,5.75,3.75,1.15,1.60,3.10,2.70,1.20,3.90,4.75,ALL
Alfreton,Brackley,2-4,2,4,6,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,3.20,3.00,1.75,1.55,1.20,1.15,10.00,4.50,1.02,6.00,3.75,1.15,1.55,3.10,2.90,1.18,3.90,5.25,ALL
FC Orenburg,Spartak Moskova,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.80,2.70,2.00,1.45,1.25,1.20,5.50,3.40,1.20,1.45,3.10,3.60,1.10,4.00,7.00,1.00,1.00,1.00,ALL
Ferencvaros,Kaposvari R,5-0,5,0,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.08,5.25,12.00,1.00,1.02,2.95,1.70,3.30,2.40,1.25,3.50,2.95,1.00,4.25,15.00,1.00,1.00,1.00,ALL
Waitakere United,Hawkes Bay United,5-2,5,2,7,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.18,4.25,5.25,1.02,1.08,2.40,2.05,3.60,1.85,1.45,3.75,2.40,1.02,4.60,9.50,1.00,5.00,9.50,ALL
Tampines Rov,Tanjong Pagar United,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.20,4.00,6.50,1.02,1.08,2.30,2.35,3.50,1.70,1.55,3.40,2.30,1.02,4.50,9.50,1.00,1.00,1.00,ALL
Zenit,FC Ural,7-1,7,1,8,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.20,3.90,8.25,1.02,1.08,2.40,2.65,3.10,1.65,1.62,2.90,2.40,1.02,4.25,12.50,1.00,1.00,1.00,ALL
S. Soligorsk,Torpedo Belaz Zhodino,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.25,3.90,6.00,1.05,1.12,2.20,3.10,3.25,1.50,1.80,2.85,2.20,1.05,4.00,10.00,1.00,1.00,1.00,ALL
MC Alger,MC Magra,4-1,4,1,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.35,3.25,5.50,1.08,1.15,1.95,3.90,3.30,1.35,2.10,2.75,2.20,1.05,4.00,10.00,1.00,1.00,1.00,ALL
Bragantino SP,Agua Santa,4-0,4,0,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.35,3.30,5.75,1.05,1.15,2.00,3.75,3.30,1.35,2.05,2.75,2.00,1.05,4.00,12.00,1.00,1.00,1.00,ALL
Spennymoor,Hereford,4-0,4,0,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.55,3.20,3.90,1.12,1.18,1.75,4.00,3.75,1.25,2.35,3.10,1.75,1.12,4.00,7.00,1.00,4.50,10.00,ALL
Monarcas Mor,Queretaro,4-0,4,0,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.90,2.90,2.85,1.20,1.25,1.50,5.75,4.00,1.15,3.10,3.25,1.50,1.20,3.60,5.00,1.05,4.50,8.50,ALL
Oeste,Botafogo,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.30,2.60,2.50,1.25,1.30,1.35,8.25,4.25,1.05,4.25,3.20,1.35,1.25,3.25,4.75,1.05,4.25,9.00,ALL
Mushuc Runa,CSD Macara,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,5.00,2.95,1.45,1.80,1.20,1.05,12.50,4.40,1.00,9.00,4.00,1.05,1.80,3.10,2.20,1.30,3.60,3.75,ALL
Dartford,Chelmsford C,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.90,3.00,2.75,1.25,1.20,1.45,5.50,4.25,1.15,3.10,3.30,1.45,1.25,3.75,4.60,1.05,4.50,8.00,ALL
Tecnico Universitario,Portoviejo,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.70,3.00,3.30,1.15,1.20,1.60,4.60,3.90,1.20,2.60,3.20,1.60,1.15,3.90,5.75,1.02,4.60,9.50,ALL
Psis Semar,Arema FC,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.75,3.10,3.10,1.18,1.20,1.55,4.60,4.00,1.20,2.65,3.30,1.55,1.18,3.90,5.25,1.02,4.60,8.50,ALL
Oleksandriya,Kolos Kovalivka,4-2,4,2,6,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.55,3.10,4.00,1.10,1.20,1.75,4.60,3.60,1.25,2.45,2.85,1.75,1.10,3.75,8.00,1.00,4.40,12.50,ALL
Bate Borisov,Dinamo Minsk,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.30,3.75,5.50,1.05,1.12,2.10,3.25,3.30,1.45,1.85,2.90,2.10,1.05,4.00,10.00,1.00,1.00,1.00,ALL
Bate Borisov,Dinamo Minsk,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.30,3.75,5.50,1.05,1.12,2.10,3.25,3.30,1.45,1.85,2.90,2.10,1.05,4.00,10.00,1.00,4.25,12.50,ALL
Sabah,Perak,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.10,3.25,1.70,1.60,1.20,1.18,8.50,4.60,1.02,5.25,3.90,1.18,1.60,3.25,2.60,1.20,3.90,4.50,ALL
Mitre Santia,Estudiantes Río Cuarto,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.60,2.60,2.20,1.35,1.28,1.25,9.50,4.30,1.00,5.10,3.30,1.25,1.35,3.10,4.10,1.06,4.10,8.00,ALL
Sydney FC,Perth Glory,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.85,3.00,2.90,1.20,1.20,1.50,5.50,4.00,1.15,3.00,3.25,1.50,1.20,3.75,5.00,1.05,4.50,8.50,ALL
Highlan Park,Mamel Sundow,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,3.20,2.80,1.80,1.50,1.25,1.15,10.00,4.40,1.02,6.25,3.60,1.15,1.50,3.00,3.10,1.15,3.90,6.00,ALL
Highlan Park,Mamel Sundow,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,3.20,2.80,1.80,1.50,1.25,1.15,9.50,4.40,1.02,6.25,3.60,1.15,1.50,3.00,3.10,1.15,3.90,6.00,ALL
Zhetysu T,Tobol K,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.40,2.60,2.35,1.30,1.25,1.30,8.50,4.25,1.05,4.60,3.25,1.30,1.30,3.20,4.40,1.05,4.25,8.25,ALL
Konyaspor,Fenerbahçe,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.60,3.00,2.05,1.42,1.28,1.25,9.00,4.30,1.00,4.90,3.35,1.25,1.42,3.10,3.65,1.10,4.10,7.00,ALL
